cruises,Julian,Lon,Lat,chl_c3,chl_c2,chl_c1,chld_a,pheo_a,peridinin,X19_but,fuco,neoxanthin,prasino,hex_fuco,violaxanthin,X19_hex,diadinoxanthin,dinoxanthin,myxoxanth,antheraxanthin,alloxanthin,diatox,zeaxanthin,lutein,gyroxanthin,chl_c2_MGDG,chl_b,chl_a,Phaeophytin_a,a_carot,b_carot
Summer_2018,169,30.14443,82.59166,0.075,0.574,0.145,0,0,0,0.02,1.626,0.007,0.011,0,0.007,0.042,0.181,0,0,0,0.023,0.009,0,0.002,0.003,0.025,0.049,3.962,0.048,0.007,0.065
Summer_2018,171,31.07706,81.45836,0.018,0.11,0.055,0,0,0,0.003,0.228,0.009,0.019,0,0.01,0,0.029,0,0.004,0.004,0.01,0.006,0.008,0.001,0,0.003,0.08,0.616,0.028,0.002,0.015
Summer_2018,173,18.45155,81.26324,0.101,0.105,0.074,0,0,0,0,0.435,0,0,0.026,0.031,0.037,0.036,0,0,0,0.003,0.007,0.003,0,0.003,0.034,0.018,1.28,0.035,0.002,0.02
Summer_2018,178,30.00149,77.54955,0.02,0.054,0.02,0,0,0.012,0.006,0.136,0.005,0.009,0,0.011,0.027,0.033,0,0,0.009,0.011,0.012,0.012,0.003,0,0,0.047,0.544,0,0.001,0.018
Summer_2018,179,30.00013,77.00004,0.027,0.023,0.004,0,0,0,0.002,0.059,0,0.004,0,0,0.021,0.017,0,0,0,0.002,0.004,0,0,0,0.009,0.006,0.187,0,0.001,0.004
Summer_2018,180,29.99991,76.50004,0.076,0.13,0.077,0,0,0.006,0,0.487,0.001,0,0,0.014,0.005,0.057,0,0,0,0.011,0.008,0.002,0,0,0.004,0.004,0.917,0.023,0.002,0.02
Summer_2018,181,30.00157,74.50004,0.077,0.157,0.016,0,0,0.025,0.088,0.27,0,0.012,0,0.004,0.113,0.1,0,0,0,0.036,0.017,0.004,0.001,0.003,0.022,0.024,0.855,0.026,0.005,0.016
Summer_2018,183,29.9998,75.49999,0.046,0.128,0.037,0,0,0.013,0,0.37,0,0,0,0.004,0.005,0.051,0,0,0,0.063,0.005,0.002,0,0,0.003,0.015,0.817,0.033,0.01,0.015
Summer_2018,166,18.46036,81.91604,0.171,0.333,0.066,0,0,0,0.006,0.789,0,0.015,0,0.003,0.009,0.057,0,0,0,0,0.004,0.003,0,0.003,0.038,0.016,2.175,0,0,0.031
Summer_2018,169,30.14443,82.59166,0.073,0.572,0.1,0,0,0.012,0.016,1.543,0.004,0.011,0,0.006,0.037,0.167,0,0,0,0.019,0.01,0,0,0,0.024,0.039,3.764,0.048,0.004,0.068
Summer_2018,171,31.07706,81.45836,0.041,0.137,0.091,0,0,0,0.003,0.362,0.003,0.007,0,0.004,0,0.029,0,0,0,0.008,0.003,0.003,0,0,0.008,0.032,1.016,0.039,0,0.019
Summer_2018,178,30.00149,77.54955,0.221,0.256,0.046,0,0,0.019,0.006,0.462,0.002,0,0.021,0.002,0.007,0.045,0,0,0,0.025,0.003,0.005,0,0.004,0.049,0.03,1.724,0.067,0.004,0.02
Summer_2018,179,30.00013,77.00004,0.072,0.089,0.011,0,0,0,0,0.209,0,0.007,0,0.002,0.018,0.015,0,0,0,0.002,0.001,0.001,0,0.001,0.016,0.005,0.553,0.012,0.001,0.006
Summer_2018,180,29.99991,76.50004,0.081,0.149,0.098,0,0,0.01,0,0.609,0,0,0,0.02,0.006,0.073,0,0,0,0.017,0.009,0.003,0,0,0.005,0.005,1.115,0.069,0,0.028
Summer_2018,181,30.00157,74.50004,0.101,0.185,0.021,0,0,0.026,0.108,0.333,0.002,0,0.017,0.005,0.123,0.083,0,0,0,0.036,0.007,0.003,0,0.004,0.026,0.025,0.97,0.034,0.008,0.017
Summer_2018,183,29.9998,75.49999,0.05,0.137,0.034,0,0,0.013,0,0.395,0,0,0,0.004,0.006,0.048,0,0,0,0.061,0.003,0.002,0,0,0.002,0.015,0.882,0.029,0.01,0.015
Summer_2017,216,18.16632,74.36648,0.017,0.051,0.004,0,0,0.056,0.004,0.068,0.003,0.009,0,0.002,0.012,0.031,0.004,0,0,0.015,0.003,0.003,0.001,0.001,0.007,0.032,0.342,0,0.002,0.008
Summer_2017,215,16.83342,76.0001,0.027,0.063,0.011,0,0,0.008,0.013,0.094,0.001,0.007,0,0.002,0.036,0.032,0,0,0,0.012,0.006,0.003,0.001,0.001,0.004,0.024,0.362,0.014,0.001,0.007
Summer_2017,195,21.00184,76.36612,0.029,0.058,0.017,0,0,0.006,0.015,0.114,0.006,0.009,0,0.005,0.06,0.044,0,0,0,0.037,0.008,0.007,0.002,0,0.01,0.041,0.491,0.022,0.005,0.014
Summer_2017,196,26.00176,75.50024,0.006,0.053,0.015,0,0,0.076,0,0.062,0.015,0.03,0,0.012,0.007,0.035,0.008,0,0.005,0.006,0.003,0.009,0.002,0,0,0.118,0.48,0.052,0,0.02
Summer_2017,198,30.00034,74.46658,0.095,0.181,0.067,0,0,0.079,0.048,0.534,0.025,0.051,0,0.023,0.076,0.136,0.004,0.008,0.004,0.044,0.013,0.032,0.003,0.003,0.028,0.153,1.321,0.06,0.007,0.035
Summer_2017,211,30.287,76.4994,0.003,0.022,0.005,0,0,0.025,0,0.019,0.004,0.009,0,0.004,0.007,0.018,0.003,0.003,0.004,0.011,0.002,0.007,0.001,0,0,0.037,0.179,0.013,0.001,0.009
Summer_2017,200,30.00076,78.21434,0.002,0.015,0.01,0.019,0,0,0.001,0.056,0.002,0.004,0,0.007,0.003,0.008,0,0,0.003,0.005,0.001,0.002,0.001,0,0,0.019,0.251,0,0,0.007
Summer_2017,203,29.91598,80.1521,0.013,0.039,0.009,0,0,0.045,0.004,0.047,0.008,0.014,0,0.001,0.018,0.019,0,0,0.002,0.001,0.003,0.003,0.002,0,0.003,0.085,0.371,0.015,0,0.007
Summer_2017,206,29.5065,81.4018,0.127,0.422,0,0,0,0.014,0.013,0.916,0.014,0.014,0,0.006,0.028,0.142,0,0,0.006,0.003,0.024,0.005,0.016,0.003,0.026,0.177,2.782,0.059,0,0.035
Summer_2017,217,19.25012,72.63304,0.158,0.174,0.024,0,0,0.05,0.071,0.236,0.004,0.012,0,0.006,0.375,0.054,0.003,0,0,0.015,0.005,0.006,0.003,0.011,0.042,0.042,0.882,0.014,0.003,0.013
Summer_2017,216,18.16632,74.36648,0.058,0.067,0.009,0,0,0.009,0.003,0.119,0.002,0.011,0,0.001,0.013,0.014,0,0,0,0.009,0,0,0,0.002,0.012,0.035,0.538,0.019,0.001,0.008
Summer_2017,215,16.83342,76.0001,0.066,0.075,0.011,0,0,0.021,0.02,0.148,0.001,0.007,0,0.001,0.054,0.017,0,0,0,0.002,0.001,0.001,0,0.002,0.011,0.017,0.403,0,0.001,0.007
Summer_2017,196,26.00176,75.50024,0.013,0.076,0.027,0,0,0.09,0,0.124,0.022,0.044,0,0.019,0.016,0.046,0.01,0.004,0,0.022,0.003,0.011,0.002,0,0.004,0.161,0.774,0.046,0.004,0.028
Summer_2017,211,30.287,76.4994,0.11,0.079,0.02,0,0,0.004,0.006,0.435,0,0.003,0,0.003,0.007,0.019,0,0,0,0.022,0,0.003,0,0,0.005,0.005,0.795,0.038,0.002,0.016
Summer_2017,200,30.00076,78.21434,0.765,0.546,0.112,0,0,0,0.221,0.594,0,0,0.119,0.006,0.816,0.066,0,0,0,0,0.002,0,0,0.034,0.263,0.022,2.779,0.04,0,0.023
Summer_2017,203,29.91598,80.1521,0.198,0.232,0.031,0,0,0.015,0.013,0.385,0.008,0.031,0,0.003,0.031,0.041,0,0,0,0.002,0.001,0.001,0.001,0.005,0.036,0.113,1.756,0.057,0,0.024
Summer_2017,207,29.86738,81.7259,0.031,0.034,0.017,0,0,0.008,0.019,0.073,0.019,0.045,0,0.009,0.021,0.011,0,0,0.003,0.006,0.002,0.004,0.001,0,0.007,0.166,0.389,0.043,0.002,0.009
Summer_2017,206,29.5065,81.4018,0.197,0.547,0,0,0,0,0.009,1.238,0.004,0.02,0,0.004,0.02,0.093,0,0,0,0.005,0.006,0,0.005,0.004,0.032,0.107,3.612,0.053,0,0.046
Spring_2018,120,29.95,75.93333333,0.167,0.36,0.062,0.039,0,0.008,0.015,0.774,0.004,0.011,0,0.002,0.024,0.083,0,0,0,0.003,0.004,0,0,0.004,0.042,0.028,2.623,0.029,0,0.04
Spring_2018,122,16.81666667,76.01666667,0.129,0.303,0.088,0.032,0,0.017,0.011,0.642,0,0.012,0,0.001,0.005,0.069,0,0,0,0.008,0.009,0,0,0,0.024,0.057,2.112,0.053,0,0.025
Spring_2018,116,30.05,74.61666667,0.134,0.128,0,0,0,0.004,0.037,0.149,0,0.003,0,0,0.065,0.025,0,0,0,0,0,0,0,0,0.037,0.016,0.877,0.016,0,0.013
Spring_2018,117,30.08333333,76.2,0.073,0.628,0.188,0.138,0,0.008,0.01,1.596,0.012,0.015,0,0.005,0.015,0.151,0,0,0,0.01,0.012,0,0,0,0.017,0.073,4.466,0.067,0,0.079
Spring_2018,119,28.3,76.48333333,0.132,1.339,0.618,0.479,0,0.023,0.022,3.255,0.023,0.022,0,0.012,0.016,0.308,0,0,0,0,0.011,0,0,0,0.028,0.144,8.521,0.122,0,0.16
Spring_2018,120,29.95,75.93333333,0.192,0.377,0.059,0.053,0,0.01,0.016,0.786,0.003,0.012,0,0.002,0.026,0.076,0,0,0,0,0.003,0,0,0,0.054,0.031,2.697,0.045,0,0.041
